"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C4, C7";"C_0805_2012Metric";4;"10U";;;
2;"C3, C5, C6";"C_0603_1608Metric";3;"100N";;;
3;"D1";"SOT-666";1;"USBLC6-2P6";;;
4;"D2";"LED_Cree-PLCC4_3.2x2.8mm_CCW";1;"RBG_LED";;;
5;"D3";"LED_0603_1608Metric";1;"GREEN";;;
6;"F1";"Fuse_1206_3216Metric";1;"1A";;;
7;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C";;;
8;"R1, R2";"R_0603";2;"5K1";;;
9;"R3, R4";"R_0603";2;"10K";;;
10;"R5, R6, R7, R8";"R_0603";4;"1K";;;
11;"RF1";"XCVR_ESP32-C6-WROOM-1-N8";1;"ESP32-C6-WROOM-1-N8";;;
12;"SW1";"SW_SPST_B3U-1000P";1;"RESET";;;
13;"SW2";"SW_SPST_B3U-1000P";1;"BOOT";;;
14;"TP1";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"TXD";;;
15;"TP2";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"RXD";;;
16;"TP3";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"GND";;;
17;"TP4";"TestPoint_THTPad_D1.5mm_Drill0.7mm";1;"+3.3V";;;
18;"U1";"SOT-23-5";1;"AP2112K-3.3";;;
