Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10U","C_0805_2012Metric",115.450574,-118.089600,180.000000,top
"C2","10U","C_0805_2012Metric",117.635020,-111.459901,0.000000,top
"C3","100N","C_0603_1608Metric",122.460000,-116.240000,90.000000,top
"C4","10U","C_0805_2012Metric",120.620000,-116.020000,90.000000,top
"C5","100N","C_0603_1608Metric",114.370000,-110.000000,-90.000000,top
"C6","100N","C_0603_1608Metric",110.690000,-109.245000,180.000000,top
"C7","10U","C_0805_2012Metric",111.620000,-111.680000,-90.000000,top
"D1","USBLC6-2P6","SOT-666",124.945000,-120.050000,90.000000,top
"D2","RBG_LED","LED_Cree-PLCC4_3.2x2.8mm_CCW",133.947500,-98.810000,180.000000,top
"D3","GREEN","LED_0603_1608Metric",110.730000,-120.410000,90.000000,top
"F1","1A","Fuse_1206_3216Metric",120.350000,-119.560000,180.000000,top
"J1","USB_C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",124.932500,-127.302952,0.000000,top
"R1","5K1","R_0603",118.777183,-123.555636,-90.000000,top
"R2","5K1","R_0603",131.125000,-123.555636,-90.000000,top
"R3","10K","R_0603",129.125000,-104.850000,-90.000000,top
"R4","10K","R_0603",129.175000,-90.915000,-90.000000,top
"R5","1K","R_0603",110.715000,-117.160000,90.000000,top
"R6","1K","R_0603",129.810000,-101.595000,180.000000,top
"R7","1K","R_0603",129.830000,-98.645000,180.000000,top
"R8","1K","R_0603",129.830000,-95.685000,180.000000,top
"RF1","ESP32-C6-WROOM-1-N8","XCVR_ESP32-C6-WROOM-1-N8",114.890000,-98.675000,90.000000,top
"SW1","RESET","SW_SPST_B3U-1000P",133.300000,-106.875000,0.000000,top
"SW2","BOOT","SW_SPST_B3U-1000P",133.300000,-90.550000,0.000000,top
"U1","AP2112K-3.3","SOT-23-5",117.307209,-114.609290,90.000000,top
